"觀測時間(month)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)"
"ObsTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime"
"01","22.0","6","6.5","2015/01/13 00:00:00"
"02","51.5","11","27.0","2015/02/16 00:00:00"
"03","163.5","17","44.0","2015/03/23 00:00:00"
"04","149.5","16","36.5","2015/04/11 00:00:00"
"05","454.0","22","64.5","2015/05/04 00:00:00"
"06","231.0","12","87.5","2015/06/21 00:00:00"
"07","621.5","17","374.5","2015/07/10 00:00:00"
"08","770.5","18","253.0","2015/08/08 00:00:00"
"09","506.0","12","324.5","2015/09/28 00:00:00"
"10","123.0","7","59.5","2015/10/08 00:00:00"
"11","14.5","6","4.5","2015/11/21 00:00:00"
"12","137.5","16","48.0","2015/12/10 00:00:00"
