"觀測時間(month)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)"
"ObsTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime"
"01","45.0","11","10.0","2013/01/09 00:00:00"
"02","14.0","9","6.5","2013/02/27 00:00:00"
"03","107.5","17","34.0","2013/03/28 00:00:00"
"04","416.0","26","46.5","2013/04/05 00:00:00"
"05","429.5","26","76.5","2013/05/11 00:00:00"
"06","271.5","17","91.0","2013/06/04 00:00:00"
"07","852.5","19","371.5","2013/07/13 00:00:00"
"08","1105.5","19","414.5","2013/08/21 00:00:00"
"09","299.0","9","178.0","2013/09/21 00:00:00"
"10","600.0","9","347.0","2013/10/06 00:00:00"
"11","52.5","6","38.0","2013/11/25 00:00:00"
"12","164.0","17","74.0","2013/12/17 00:00:00"
