"觀測時間(month)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)"
"ObsTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime"
"01","27.5","8","11.0","2021/01/11 00:00:00"
"02","32.5","8","21.0","2021/02/11 00:00:00"
"03","114.5","12","39.0","2021/03/06 00:00:00"
"04","106.0","11","36.5","2021/04/28 00:00:00"
"05","349.5","11","146.5","2021/05/30 00:00:00"
"06","414.0","16","84.0","2021/06/23 00:00:00"
"07","965.0","18","277.5","2021/07/24 00:00:00"
"08","632.0","22","174.0","2021/08/07 00:00:00"
"09","196.0","9","142.5","2021/09/12 00:00:00"
"10","206.0","11","90.5","2021/10/11 00:00:00"
"11","78.5","16","29.0","2021/11/08 00:00:00"
"12","28.5","8","14.5","2021/12/21 00:00:00"
