"觀測時間(month)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)"
"ObsTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime"
"01","53.5","11","40.5","2020/01/26 00:00:00"
"02","31.0","6","7.5","2020/02/05 00:00:00"
"03","228.0","14","63.5","2020/03/10 00:00:00"
"04","125.0","16","29.5","2020/04/11 00:00:00"
"05","544.0","23","130.5","2020/05/16 00:00:00"
"06","134.5","10","65.0","2020/06/14 00:00:00"
"07","330.0","14","51.0","2020/07/23 00:00:00"
"08","324.0","20","93.5","2020/08/10 00:00:00"
"09","163.0","16","49.0","2020/09/12 00:00:00"
"10","21.5","1","21.5","2020/10/23 00:00:00"
"11","8.0","5","4.0","2020/11/07 00:00:00"
"12","88.0","13","23.5","2020/12/23 00:00:00"
