"觀測時間(month)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)"
"ObsTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime"
"01","44.5","9","12.0","2019/01/16 00:00:00"
"02","41.0","11","26.5","2019/02/24 00:00:00"
"03","329.0","20","72.5","2019/03/09 00:00:00"
"04","179.5","18","37.0","2019/04/16 00:00:00"
"05","430.5","24","75.0","2019/05/01 00:00:00"
"06","461.5","18","92.5","2019/06/14 00:00:00"
"07","271.5","15","61.0","2019/07/22 00:00:00"
"08","588.0","17","287.0","2019/08/09 00:00:00"
"09","301.5","13","127.0","2019/09/30 00:00:00"
"10","166.0","2","160.0","2019/10/01 00:00:00"
"11","1.5","2","1.0","2019/11/22 00:00:00"
"12","79.5","7","24.5","2019/12/06 00:00:00"
