"觀測時間(month)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)"
"ObsTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime"
"01","86.5","16","26.0","2022/01/21 00:00:00"
"02","247.0","17","52.5","2022/02/14 00:00:00"
"03","249.5","13","69.0","2022/03/28 00:00:00"
"04","103.5","13","30.0","2022/04/02 00:00:00"
"05","460.0","22","66.0","2022/05/26 00:00:00"
"06","221.5","20","61.5","2022/06/07 00:00:00"
"07","309.0","12","88.5","2022/07/03 00:00:00"
"08","137.5","17","35.5","2022/08/25 00:00:00"
"09","916.5","11","249.0","2022/09/03 00:00:00"
"10","348.5","11","179.5","2022/10/16 00:00:00"
"11","113.5","7","46.0","2022/11/24 00:00:00"
"12","63.0","13","25.5","2022/12/17 00:00:00"
