"觀測時間(month)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)"
"ObsTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime"
"01","20.5","9","6.5","2023/01/24 00:00:00"
"02","36.0","7","21.5","2023/02/06 00:00:00"
"03","49.0","9","23.0","2023/03/26 00:00:00"
"04","250.5","15","88.0","2023/04/20 00:00:00"
"05","381.5","17","154.5","2023/05/31 00:00:00"
"06","472.0","21","95.5","2023/06/24 00:00:00"
"07","290.0","17","55.0","2023/07/11 00:00:00"
"08","445.0","20","76.0","2023/08/02 00:00:00"
"09","191.5","12","89.5","2023/09/06 00:00:00"
"10","241.5","9","109.5","2023/10/04 00:00:00"
"11","24.5","3","20.5","2023/11/16 00:00:00"
"12","90.0","10","53.0","2023/12/04 00:00:00"
