"觀測時間(month)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)"
"ObsTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime"
"01","267.5","14","94.0","2018/01/08 00:00:00"
"02","158.0","16","38.5","2018/02/22 00:00:00"
"03","121.0","9","43.0","2018/03/05 00:00:00"
"04","131.5","13","37.5","2018/04/24 00:00:00"
"05","126.5","5","88.0","2018/05/08 00:00:00"
"06","353.0","22","83.0","2018/06/30 00:00:00"
"07","524.5","11","147.5","2018/07/10 00:00:00"
"08","442.0","23","55.5","2018/08/28 00:00:00"
"09","430.5","16","140.5","2018/09/28 00:00:00"
"10","159.0","14","63.5","2018/10/04 00:00:00"
"11","49.0","11","18.5","2018/11/19 00:00:00"
"12","24.5","8","17.0","2018/12/23 00:00:00"
