"觀測時間(month)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)"
"ObsTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime"
"01","24.0","6","13.5","2017/01/14 00:00:00"
"02","101.5","8","25.5","2017/02/24 00:00:00"
"03","191.5","20","28.5","2017/03/06 00:00:00"
"04","311.5","17","85.5","2017/04/21 00:00:00"
"05","353.0","22","101.5","2017/05/24 00:00:00"
"06","776.0","21","188.5","2017/06/03 00:00:00"
"07","436.5","18","121.5","2017/07/29 00:00:00"
"08","47.5","9","18.5","2017/08/03 00:00:00"
"09","150.0","13","34.0","2017/09/13 00:00:00"
"10","151.5","11","52.5","2017/10/13 00:00:00"
"11","89.5","18","17.5","2017/11/14 00:00:00"
"12","44.0","9","16.5","2017/12/08 00:00:00"
