"觀測時間(month)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)"
"ObsTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime"
"01","0.5","1","0.5","2014/01/03 00:00:00"
"02","72.5","10","29.5","2014/02/19 00:00:00"
"03","20.5","9","6.0","2014/03/05 00:00:00"
"04","62.5","10","24.0","2014/04/24 00:00:00"
"05","475.0","29","86.0","2014/05/29 00:00:00"
"06","169.0","19","38.5","2014/06/30 00:00:00"
"07","116.0","7","59.5","2014/07/08 00:00:00"
"08","151.0","19","28.5","2014/08/27 00:00:00"
"09","391.5","11","130.5","2014/09/24 00:00:00"
"10","229.0","4","104.5","2014/10/10 00:00:00"
"11","50.5","7","22.0","2014/11/13 00:00:00"
"12","121.5","15","37.0","2014/12/04 00:00:00"
