"觀測時間(month)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)"
"ObsTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime"
"01","135.0","18","34.5","2019/01/16 00:00:00"
"02","88.5","19","54.5","2019/02/24 00:00:00"
"03","215.0","21","52.5","2019/03/07 00:00:00"
"04","170.0","21","40.5","2019/04/16 00:00:00"
"05","360.5","18","55.5","2019/05/20 00:00:00"
"06","440.5","17","125.5","2019/06/11 00:00:00"
"07","200.5","16","52.0","2019/07/02 00:00:00"
"08","362.5","15","102.0","2019/08/09 00:00:00"
"09","775.5","18","190.0","2019/09/30 00:00:00"
"10","110.0","13","47.5","2019/10/01 00:00:00"
"11","147.0","16","29.5","2019/11/18 00:00:00"
"12","269.0","17","98.0","2019/12/06 00:00:00"
