"觀測時間(month)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)"
"ObsTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime"
"01","94.5","8","38.0","2014/01/14 00:00:00"
"02","374.0","16","115.5","2014/02/09 00:00:00"
"03","214.0","17","31.5","2014/03/13 00:00:00"
"04","129.0","14","31.5","2014/04/24 00:00:00"
"05","673.5","27","150.5","2014/05/21 00:00:00"
"06","702.5","22","144.5","2014/06/23 00:00:00"
"07","340.5","10","118.5","2014/07/23 00:00:00"
"08","271.5","12","64.5","2014/08/09 00:00:00"
"09","350.5","13","106.0","2014/09/22 00:00:00"
"10","198.5","10","74.0","2014/10/10 00:00:00"
"11","267.0","12","122.0","2014/11/17 00:00:00"
"12","191.5","17","28.0","2014/12/04 00:00:00"
