"觀測時間(month)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)"
"ObsTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime"
"01","362.5","22","75.0","2018/01/07 00:00:00"
"02","293.5","20","39.0","2018/02/03 00:00:00"
"03","91.0","15","26.5","2018/03/05 00:00:00"
"04","168.0","11","66.0","2018/04/24 00:00:00"
"05","67.5","10","36.0","2018/05/08 00:00:00"
"06","407.5","17","114.5","2018/06/21 00:00:00"
"07","245.0","9","79.0","2018/07/11 00:00:00"
"08","370.5","20","79.5","2018/08/19 00:00:00"
"09","556.0","18","79.5","2018/09/25 00:00:00"
"10","425.0","22","71.0","2018/10/11 00:00:00"
"11","129.5","19","27.0","2018/11/02 00:00:00"
"12","219.0","21","41.0","2018/12/23 00:00:00"
