"觀測時間(month)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)"
"ObsTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime"
"01","107.5","19","28.5","2017/01/14 00:00:00"
"02","178.5","14","50.5","2017/02/25 00:00:00"
"03","216.5","19","29.0","2017/03/10 00:00:00"
"04","252.0","15","62.5","2017/04/21 00:00:00"
"05","216.0","19","40.0","2017/05/13 00:00:00"
"06","782.5","19","166.0","2017/06/02 00:00:00"
"07","332.5","13","103.0","2017/07/29 00:00:00"
"08","118.5","10","68.0","2017/08/02 00:00:00"
"09","261.0","10","76.0","2017/09/01 00:00:00"
"10","499.0","24","128.5","2017/10/14 00:00:00"
"11","337.5","23","46.0","2017/11/18 00:00:00"
"12","254.5","19","31.0","2017/12/16 00:00:00"
