"觀測時間(month)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)"
"ObsTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime"
"01","117.5","20","12.0","2023/01/02 00:00:00"
"02","104.5","18","17.0","2023/02/14 00:00:00"
"03","64.0","10","17.0","2023/03/25 00:00:00"
"04","155.0","13","41.5","2023/04/20 00:00:00"
"05","308.0","15","151.5","2023/05/31 00:00:00"
"06","513.0","17","113.0","2023/06/23 00:00:00"
"07","202.5","14","94.0","2023/07/26 00:00:00"
"08","337.5","19","55.5","2023/08/20 00:00:00"
"09","221.5","11","65.5","2023/09/04 00:00:00"
"10","375.5","17","108.5","2023/10/04 00:00:00"
"11","115.5","14","27.5","2023/11/12 00:00:00"
"12","230.5","22","47.5","2023/12/04 00:00:00"
