"觀測時間(month)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)"
"ObsTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime"
"01","95.5","17","39.0","2020/01/26 00:00:00"
"02","82.0","15","20.0","2020/02/04 00:00:00"
"03","230.0","20","62.0","2020/03/10 00:00:00"
"04","156.5","19","33.0","2020/04/23 00:00:00"
"05","492.0","23","150.5","2020/05/28 00:00:00"
"06","134.0","15","35.0","2020/06/14 00:00:00"
"07","371.5","17","76.5","2020/07/01 00:00:00"
"08","222.5","17","66.5","2020/08/27 00:00:00"
"09","172.0","16","31.0","2020/09/09 00:00:00"
"10","266.5","19","30.5","2020/10/22 00:00:00"
"11","197.0","23","42.0","2020/11/13 00:00:00"
"12","409.5","28","40.5","2020/12/03 00:00:00"
