"觀測時間(month)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)"
"ObsTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime"
"01","190.5","18","36.5","2021/01/07 00:00:00"
"02","110.5","11","26.5","2021/02/13 00:00:00"
"03","132.5","16","28.0","2021/03/06 00:00:00"
"04","85.5","14","30.5","2021/04/29 00:00:00"
"05","314.0","14","140.5","2021/05/24 00:00:00"
"06","379.0","15","110.0","2021/06/04 00:00:00"
"07","485.0","12","159.5","2021/07/24 00:00:00"
"08","399.0","20","125.0","2021/08/07 00:00:00"
"09","263.5","10","176.5","2021/09/12 00:00:00"
"10","643.0","21","203.5","2021/10/11 00:00:00"
"11","185.0","20","28.0","2021/11/26 00:00:00"
"12","174.0","20","32.5","2021/12/25 00:00:00"
