"觀測時間(month)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)"
"ObsTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime"
"01","79.0","11","26.5","2015/01/27 00:00:00"
"02","124.0","16","23.5","2015/02/24 00:00:00"
"03","246.0","17","57.0","2015/03/23 00:00:00"
"04","156.5","17","36.0","2015/04/18 00:00:00"
"05","437.5","17","110.5","2015/05/09 00:00:00"
"06","346.0","13","114.0","2015/06/07 00:00:00"
"07","398.5","14","116.0","2015/07/10 00:00:00"
"08","1056.0","21","407.5","2015/08/08 00:00:00"
"09","824.0","18","414.5","2015/09/28 00:00:00"
"10","237.0","17","71.0","2015/10/09 00:00:00"
"11","123.0","17","30.0","2015/11/23 00:00:00"
"12","170.5","23","31.0","2015/12/10 00:00:00"
