"觀測時間(month)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)"
"ObsTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime"
"01","359.0","25","74.0","2016/01/23 00:00:00"
"02","241.0","19","42.0","2016/02/01 00:00:00"
"03","355.0","21","74.0","2016/03/10 00:00:00"
"04","227.0","16","44.5","2016/04/13 00:00:00"
"05","376.0","21","90.5","2016/05/15 00:00:00"
"06","421.0","23","92.5","2016/06/17 00:00:00"
"07","357.5","11","61.5","2016/07/08 00:00:00"
"08","158.0","10","42.0","2016/08/11 00:00:00"
"09","1182.5","23","370.0","2016/09/27 00:00:00"
"10","424.0","22","97.0","2016/10/08 00:00:00"
"11","261.5","18","63.5","2016/11/23 00:00:00"
"12","89.5","15","16.0","2016/12/10 00:00:00"
