"觀測時間(month)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)"
"ObsTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime"
"01","79.0","12","18.0","2013/01/08 00:00:00"
"02","29.5","13","14.0","2013/02/27 00:00:00"
"03","88.5","14","24.0","2013/03/28 00:00:00"
"04","344.0","19","66.0","2013/04/05 00:00:00"
"05","434.0","12","179.5","2013/05/11 00:00:00"
"06","70.0","8","31.5","2013/06/23 00:00:00"
"07","160.5","5","103.5","2013/07/13 00:00:00"
"08","510.5","14","159.0","2013/08/20 00:00:00"
"09","33.0","10","15.5","2013/09/20 00:00:00"
"10","56.5","8","33.5","2013/10/04 00:00:00"
"11","48.5","11","18.0","2013/11/25 00:00:00"
"12","191.5","16","54.0","2013/12/17 00:00:00"
