"觀測時間(month)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)"
"ObsTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime"
"01","27.0","6","9.5","2015/01/13 00:00:00"
"02","83.0","11","53.5","2015/02/24 00:00:00"
"03","159.0","17","35.0","2015/03/11 00:00:00"
"04","96.5","9","30.5","2015/04/21 00:00:00"
"05","287.0","14","82.0","2015/05/24 00:00:00"
"06","71.0","5","55.5","2015/06/23 00:00:00"
"07","18.0","4","6.5","2015/07/10 00:00:00"
"08","308.5","15","99.5","2015/08/08 00:00:00"
"09","210.5","7","79.5","2015/09/16 00:00:00"
"10","87.5","5","69.0","2015/10/09 00:00:00"
"11","14.0","3","9.5","2015/11/11 00:00:00"
"12","93.0","12","33.0","2015/12/10 00:00:00"
