"觀測時間(month)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)"
"ObsTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime"
"01","295.0","12","112.5","2018/01/08 00:00:00"
"02","134.5","15","29.0","2018/02/22 00:00:00"
"03","56.5","6","27.5","2018/03/20 00:00:00"
"04","51.0","9","12.5","2018/04/24 00:00:00"
"05","38.5","3","34.0","2018/05/08 00:00:00"
"06","43.0","10","12.5","2018/06/15 00:00:00"
"07","59.5","7","25.5","2018/07/11 00:00:00"
"08","241.5","13","46.0","2018/08/25 00:00:00"
"09","27.5","10","12.0","2018/09/26 00:00:00"
"10","70.5","10","18.0","2018/10/12 00:00:00"
"11","32.5","11","8.5","2018/11/19 00:00:00"
"12","57.5","12","25.5","2018/12/23 00:00:00"
