"觀測時間(month)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)"
"ObsTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime"
"01","47.0","10","34.5","2020/01/26 00:00:00"
"02","67.0","6","52.5","2020/02/16 00:00:00"
"03","155.0","13","47.0","2020/03/10 00:00:00"
"04","75.0","13","20.0","2020/04/11 00:00:00"
"05","357.5","13","106.0","2020/05/22 00:00:00"
"06","56.0","5","35.0","2020/06/07 00:00:00"
"07","2.0","3","1.0","2020/07/01 00:00:00"
"08","169.0","11","49.0","2020/08/03 00:00:00"
"09","145.0","10","45.5","2020/09/20 00:00:00"
"10","23.5","6","14.0","2020/10/22 00:00:00"
"11","14.0","6","6.5","2020/11/13 00:00:00"
"12","93.0","20","20.5","2020/12/09 00:00:00"
