"觀測時間(month)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)"
"ObsTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime"
"01","31.0","6","25.0","2014/01/14 00:00:00"
"02","189.5","14","73.5","2014/02/09 00:00:00"
"03","128.0","14","22.0","2014/03/08 00:00:00"
"04","83.0","9","34.0","2014/04/24 00:00:00"
"05","422.0","21","139.5","2014/05/21 00:00:00"
"06","176.5","11","52.0","2014/06/05 00:00:00"
"07","67.5","5","38.0","2014/07/23 00:00:00"
"08","38.0","3","23.0","2014/08/18 00:00:00"
"09","86.5","2","82.0","2014/09/22 00:00:00"
"10","37.5","6","22.0","2014/10/09 00:00:00"
"11","36.0","7","15.5","2014/11/17 00:00:00"
"12","68.0","12","29.5","2014/12/04 00:00:00"
