"觀測時間(month)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)"
"ObsTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime"
"01","87.0","14","27.5","2022/01/22 00:00:00"
"02","274.0","18","33.5","2022/02/23 00:00:00"
"03","220.0","13","50.5","2022/03/28 00:00:00"
"04","75.0","10","36.0","2022/04/02 00:00:00"
"05","570.0","20","120.5","2022/05/25 00:00:00"
"06","256.0","13","73.0","2022/06/07 00:00:00"
"07","52.0","6","35.0","2022/07/29 00:00:00"
"08","80.5","7","60.0","2022/08/02 00:00:00"
"09","145.0","9","44.0","2022/09/03 00:00:00"
"10","192.0","11","86.0","2022/10/16 00:00:00"
"11","118.0","6","60.5","2022/11/24 00:00:00"
"12","105.0","17","21.0","2022/12/11 00:00:00"
