"觀測時間(month)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)"
"ObsTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime"
"01","27.5","5","14.5","2017/01/13 00:00:00"
"02","99.0","8","37.5","2017/02/24 00:00:00"
"03","178.0","18","37.5","2017/03/31 00:00:00"
"04","128.0","12","37.0","2017/04/21 00:00:00"
"05","83.5","9","49.5","2017/05/16 00:00:00"
"06","629.5","14","135.5","2017/06/14 00:00:00"
"07","73.5","9","34.5","2017/07/01 00:00:00"
"08","25.5","4","22.0","2017/08/02 00:00:00"
"09","28.5","6","11.5","2017/09/13 00:00:00"
"10","137.5","9","35.0","2017/10/13 00:00:00"
"11","83.0","14","12.0","2017/11/13 00:00:00"
"12","56.0","12","13.0","2017/12/16 00:00:00"
