"觀測時間(month)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)"
"ObsTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime"
"01","27.0","14","6.5","2023/01/24 00:00:00"
"02","51.5","8","22.5","2023/02/06 00:00:00"
"03","36.0","8","24.0","2023/03/25 00:00:00"
"04","159.5","10","59.5","2023/04/20 00:00:00"
"05","387.5","12","183.5","2023/05/19 00:00:00"
"06","99.0","12","24.0","2023/06/24 00:00:00"
"07","21.5","8","8.0","2023/07/20 00:00:00"
"08","228.5","10","64.5","2023/08/18 00:00:00"
"09","70.0","8","28.0","2023/09/08 00:00:00"
"10","98.0","12","35.0","2023/10/04 00:00:00"
"11","9.5","3","8.5","2023/11/16 00:00:00"
"12","91.0","13","60.0","2023/12/04 00:00:00"
