"觀測時間(month)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)"
"ObsTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime"
"01","304.0","20","47.5","2016/01/11 00:00:00"
"02","102.5","15","26.0","2016/02/01 00:00:00"
"03","274.0","18","53.5","2016/03/23 00:00:00"
"04","190.0","12","53.5","2016/04/13 00:00:00"
"05","254.5","9","159.5","2016/05/16 00:00:00"
"06","420.5","13","150.0","2016/06/14 00:00:00"
"07","22.5","3","18.5","2016/07/09 00:00:00"
"08","92.5","9","40.0","2016/08/12 00:00:00"
"09","271.5","15","98.5","2016/09/06 00:00:00"
"10","50.5","8","12.5","2016/10/08 00:00:00"
"11","128.0","12","54.5","2016/11/23 00:00:00"
"12","5.5","4","2.0","2016/12/28 00:00:00"
