"觀測時間(month)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)"
"ObsTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime"
"01","48.5","10","16.5","2019/01/16 00:00:00"
"02","74.5","10","63.0","2019/02/24 00:00:00"
"03","244.5","17","70.0","2019/03/09 00:00:00"
"04","145.0","12","68.5","2019/04/21 00:00:00"
"05","521.5","18","322.5","2019/05/17 00:00:00"
"06","453.0","13","114.5","2019/06/23 00:00:00"
"07","75.0","7","34.0","2019/07/27 00:00:00"
"08","162.0","10","47.0","2019/08/09 00:00:00"
"09","198.5","14","54.5","2019/09/29 00:00:00"
"10","8.5","4","4.0","2019/10/29 00:00:00"
"11","25.5","7","12.5","2019/11/22 00:00:00"
"12","197.0","12","58.0","2019/12/06 00:00:00"
