"觀測時間(month)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)"
"ObsTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime"
"01","99.0","14","42.5","2022/01/22 00:00:00"
"02","225.0","15","33.5","2022/02/23 00:00:00"
"03","172.0","10","49.0","2022/03/28 00:00:00"
"04","62.0","6","27.5","2022/04/02 00:00:00"
"05","515.5","19","152.0","2022/05/25 00:00:00"
"06","193.0","12","53.5","2022/06/08 00:00:00"
"07","85.5","8","40.5","2022/07/04 00:00:00"
"08","64.0","7","43.5","2022/08/02 00:00:00"
"09","422.0","11","160.0","2022/09/02 00:00:00"
"10","247.0","11","156.0","2022/10/16 00:00:00"
"11","130.0","7","71.0","2022/11/24 00:00:00"
"12","68.5","15","19.5","2022/12/17 00:00:00"
