"觀測時間(month)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)"
"ObsTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime"
"01","38.0","8","14.0","2019/01/16 00:00:00"
"02","68.0","7","59.0","2019/02/24 00:00:00"
"03","179.5","15","40.5","2019/03/09 00:00:00"
"04","116.5","13","38.5","2019/04/21 00:00:00"
"05","407.5","14","211.5","2019/05/20 00:00:00"
"06","442.5","13","114.0","2019/06/25 00:00:00"
"07","228.0","11","82.5","2019/07/21 00:00:00"
"08","193.0","8","71.0","2019/08/08 00:00:00"
"09","628.5","15","123.0","2019/09/21 00:00:00"
"10","14.5","4","8.5","2019/10/01 00:00:00"
"11","5.5","5","3.0","2019/11/22 00:00:00"
"12","153.0","7","47.5","2019/12/06 00:00:00"
