"觀測時間(month)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)"
"ObsTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime"
"01","29.5","7","14.5","2017/01/13 00:00:00"
"02","109.5","8","31.0","2017/02/24 00:00:00"
"03","139.5","18","30.5","2017/03/10 00:00:00"
"04","103.5","12","19.5","2017/04/11 00:00:00"
"05","148.0","11","60.5","2017/05/15 00:00:00"
"06","744.5","13","267.0","2017/06/02 00:00:00"
"07","108.0","6","68.5","2017/07/07 00:00:00"
"08","36.5","5","22.5","2017/08/27 00:00:00"
"09","128.0","9","69.0","2017/09/03 00:00:00"
"10","173.0","18","39.5","2017/10/14 00:00:00"
"11","93.0","15","29.0","2017/11/13 00:00:00"
"12","38.5","13","13.5","2017/12/07 00:00:00"
