"觀測時間(month)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)"
"ObsTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime"
"01","49.5","6","36.0","2020/01/26 00:00:00"
"02","45.5","5","30.0","2020/02/16 00:00:00"
"03","155.5","14","51.5","2020/03/10 00:00:00"
"04","60.5","15","12.5","2020/04/11 00:00:00"
"05","318.0","13","63.0","2020/05/22 00:00:00"
"06","94.5","7","44.5","2020/06/07 00:00:00"
"07","110.5","7","60.0","2020/07/02 00:00:00"
"08","497.0","14","187.0","2020/08/03 00:00:00"
"09","131.0","11","68.5","2020/09/27 00:00:00"
"10","12.0","4","8.5","2020/10/22 00:00:00"
"11","9.0","4","4.0","2020/11/13 00:00:00"
"12","92.0","16","29.0","2020/12/09 00:00:00"
