"觀測時間(month)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)"
"ObsTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime"
"01","71.0","11","21.0","2013/01/13 00:00:00"
"02","35.5","4","34.0","2013/02/27 00:00:00"
"03","54.0","13","15.0","2013/03/31 00:00:00"
"04","262.5","21","47.5","2013/04/05 00:00:00"
"05","440.5","14","237.0","2013/05/11 00:00:00"
"06","76.5","9","23.0","2013/06/11 00:00:00"
"07","195.0","5","75.5","2013/07/13 00:00:00"
"08","717.0","11","184.0","2013/08/21 00:00:00"
"09","120.5","10","55.5","2013/09/01 00:00:00"
"10","249.0","13","154.0","2013/10/05 00:00:00"
"11","32.0","9","14.5","2013/11/25 00:00:00"
"12","198.0","16","56.5","2013/12/17 00:00:00"
