"觀測時間(month)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)"
"ObsTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime"
"01","34.5","9","13.5","2021/01/07 00:00:00"
"02","62.5","7","21.0","2021/02/11 00:00:00"
"03","83.0","9","32.5","2021/03/06 00:00:00"
"04","32.5","2","16.5","2021/04/28 00:00:00"
"05","144.5","6","67.0","2021/05/31 00:00:00"
"06","182.0","10","58.5","2021/06/22 00:00:00"
"07","325.5","10","111.5","2021/07/24 00:00:00"
"08","185.0","14","105.0","2021/08/07 00:00:00"
"09","99.5","3","87.5","2021/09/12 00:00:00"
"10","166.0","11","78.5","2021/10/11 00:00:00"
"11","45.5","10","15.0","2021/11/13 00:00:00"
"12","52.0","9","20.5","2021/12/21 00:00:00"
