"觀測時間(month)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)"
"ObsTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime"
"01","270.5","20","42.5","2016/01/22 00:00:00"
"02","92.5","15","18.5","2016/02/27 00:00:00"
"03","239.5","17","44.0","2016/03/13 00:00:00"
"04","201.0","13","55.0","2016/04/13 00:00:00"
"05","157.5","12","84.5","2016/05/16 00:00:00"
"06","323.5","12","119.5","2016/06/02 00:00:00"
"07","169.0","10","50.5","2016/07/11 00:00:00"
"08","57.5","8","17.0","2016/08/27 00:00:00"
"09","383.0","14","162.0","2016/09/27 00:00:00"
"10","86.0","9","31.0","2016/10/15 00:00:00"
"11","110.0","9","39.0","2016/11/23 00:00:00"
"12","3.5","2","2.0","2016/12/22 00:00:00"
