"觀測時間(month)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)"
"ObsTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime"
"01","260.5","12","95.5","2018/01/08 00:00:00"
"02","121.5","14","33.5","2018/02/22 00:00:00"
"03","33.5","6","15.5","2018/03/20 00:00:00"
"04","82.0","8","31.0","2018/04/24 00:00:00"
"05","21.0","2","19.0","2018/05/08 00:00:00"
"06","26.5","8","9.0","2018/06/05 00:00:00"
"07","170.0","7","70.0","2018/07/11 00:00:00"
"08","223.5","15","47.5","2018/08/03 00:00:00"
"09","466.5","12","170.0","2018/09/08 00:00:00"
"10","117.5","10","27.0","2018/10/04 00:00:00"
"11","42.0","11","13.5","2018/11/17 00:00:00"
"12","53.5","6","23.5","2018/12/24 00:00:00"
