"觀測時間(month)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)"
"ObsTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime"
"01","23.0","5","8.0","2015/01/27 00:00:00"
"02","43.0","9","24.0","2015/02/24 00:00:00"
"03","170.0","11","42.5","2015/03/23 00:00:00"
"04","89.0","9","20.5","2015/04/21 00:00:00"
"05","281.0","13","71.5","2015/05/20 00:00:00"
"06","44.0","5","19.0","2015/06/24 00:00:00"
"07","221.5","8","81.0","2015/07/10 00:00:00"
"08","433.5","16","234.0","2015/08/08 00:00:00"
"09","408.5","8","281.0","2015/09/28 00:00:00"
"10","41.5","9","26.5","2015/10/09 00:00:00"
"11","8.0","5","4.0","2015/11/11 00:00:00"
"12","67.0","11","17.0","2015/12/10 00:00:00"
