"觀測時間(month)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)"
"ObsTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime"
"01","24.5","7","14.0","2023/01/24 00:00:00"
"02","53.0","5","34.5","2023/02/05 00:00:00"
"03","31.0","7","21.5","2023/03/25 00:00:00"
"04","107.0","10","31.0","2023/04/19 00:00:00"
"05","215.0","11","42.5","2023/05/19 00:00:00"
"06","122.0","14","28.5","2023/06/23 00:00:00"
"07","31.0","7","10.5","2023/07/26 00:00:00"
"08","311.5","15","65.5","2023/08/03 00:00:00"
"09","70.5","8","30.5","2023/09/01 00:00:00"
"10","121.0","11","65.5","2023/10/04 00:00:00"
"11","8.0","4","4.0","2023/11/30 00:00:00"
"12","79.0","10","67.5","2023/12/04 00:00:00"
