Month,MonthlyRainfall_mm,RainyDays,MaxDailyRainfall_mm,MaxDailyRainfallDateTime,Year,Station,StationCode
7,398.5,14,116.0,2015/07/10 00:00:00,2015,Xindian,C1A9N0
8,1056.0,21,407.5,2015/08/08 00:00:00,2015,Xindian,C1A9N0
9,824.0,18,414.5,2015/09/28 00:00:00,2015,Xindian,C1A9N0
10,237.0,17,71.0,2015/10/09 00:00:00,2015,Xindian,C1A9N0
11,123.0,17,30.0,2015/11/23 00:00:00,2015,Xindian,C1A9N0
12,170.5,23,31.0,2015/12/10 00:00:00,2015,Xindian,C1A9N0
1,94.5,8,38.0,2014/01/14 00:00:00,2014,Xindian,C1A9N0
2,374.0,16,115.5,2014/02/09 00:00:00,2014,Xindian,C1A9N0
3,214.0,17,31.5,2014/03/13 00:00:00,2014,Xindian,C1A9N0
4,129.0,14,31.5,2014/04/24 00:00:00,2014,Xindian,C1A9N0
5,673.5,27,150.5,2014/05/21 00:00:00,2014,Xindian,C1A9N0
6,702.5,22,144.5,2014/06/23 00:00:00,2014,Xindian,C1A9N0
7,340.5,10,118.5,2014/07/23 00:00:00,2014,Xindian,C1A9N0
8,271.5,12,64.5,2014/08/09 00:00:00,2014,Xindian,C1A9N0
9,350.5,13,106.0,2014/09/22 00:00:00,2014,Xindian,C1A9N0
10,198.5,10,74.0,2014/10/10 00:00:00,2014,Xindian,C1A9N0
11,267.0,12,122.0,2014/11/17 00:00:00,2014,Xindian,C1A9N0
12,191.5,17,28.0,2014/12/04 00:00:00,2014,Xindian,C1A9N0
1,359.0,25,74.0,2016/01/23 00:00:00,2016,Xindian,C1A9N0
2,241.0,19,42.0,2016/02/01 00:00:00,2016,Xindian,C1A9N0
3,355.0,21,74.0,2016/03/10 00:00:00,2016,Xindian,C1A9N0
4,227.0,16,44.5,2016/04/13 00:00:00,2016,Xindian,C1A9N0
5,376.0,21,90.5,2016/05/15 00:00:00,2016,Xindian,C1A9N0
6,421.0,23,92.5,2016/06/17 00:00:00,2016,Xindian,C1A9N0
7,357.5,11,61.5,2016/07/08 00:00:00,2016,Xindian,C1A9N0
8,158.0,10,42.0,2016/08/11 00:00:00,2016,Xindian,C1A9N0
9,1182.5,23,370.0,2016/09/27 00:00:00,2016,Xindian,C1A9N0
10,424.0,22,97.0,2016/10/08 00:00:00,2016,Xindian,C1A9N0
11,261.5,18,63.5,2016/11/23 00:00:00,2016,Xindian,C1A9N0
12,89.5,15,16.0,2016/12/10 00:00:00,2016,Xindian,C1A9N0
1,107.5,19,28.5,2017/01/14 00:00:00,2017,Xindian,C1A9N0
2,178.5,14,50.5,2017/02/25 00:00:00,2017,Xindian,C1A9N0
3,216.5,19,29.0,2017/03/10 00:00:00,2017,Xindian,C1A9N0
4,252.0,15,62.5,2017/04/21 00:00:00,2017,Xindian,C1A9N0
5,216.0,19,40.0,2017/05/13 00:00:00,2017,Xindian,C1A9N0
6,782.5,19,166.0,2017/06/02 00:00:00,2017,Xindian,C1A9N0
7,332.5,13,103.0,2017/07/29 00:00:00,2017,Xindian,C1A9N0
8,118.5,10,68.0,2017/08/02 00:00:00,2017,Xindian,C1A9N0
9,261.0,10,76.0,2017/09/01 00:00:00,2017,Xindian,C1A9N0
10,499.0,24,128.5,2017/10/14 00:00:00,2017,Xindian,C1A9N0
11,337.5,23,46.0,2017/11/18 00:00:00,2017,Xindian,C1A9N0
12,254.5,19,31.0,2017/12/16 00:00:00,2017,Xindian,C1A9N0
1,214.5,20,32.5,2013/01/03 00:00:00,2013,Xindian,C1A9N0
2,88.5,17,17.5,2013/02/27 00:00:00,2013,Xindian,C1A9N0
3,108.5,16,21.0,2013/03/31 00:00:00,2013,Xindian,C1A9N0
4,386.5,24,51.5,2013/04/12 00:00:00,2013,Xindian,C1A9N0
5,392.0,20,81.0,2013/05/11 00:00:00,2013,Xindian,C1A9N0
6,309.0,18,73.5,2013/06/04 00:00:00,2013,Xindian,C1A9N0
7,364.0,10,144.0,2013/07/13 00:00:00,2013,Xindian,C1A9N0
8,675.0,8,249.5,2013/08/21 00:00:00,2013,Xindian,C1A9N0
9,320.0,11,117.5,2013/09/01 00:00:00,2013,Xindian,C1A9N0
10,346.5,21,97.0,2013/10/06 00:00:00,2013,Xindian,C1A9N0
11,124.0,16,23.5,2013/11/25 00:00:00,2013,Xindian,C1A9N0
12,428.0,22,81.0,2013/12/17 00:00:00,2013,Xindian,C1A9N0
1,71.0,11,21.0,2013/01/13 00:00:00,2013,Taipei,C1AC50
2,35.5,4,34.0,2013/02/27 00:00:00,2013,Taipei,C1AC50
3,54.0,13,15.0,2013/03/31 00:00:00,2013,Taipei,C1AC50
4,262.5,21,47.5,2013/04/05 00:00:00,2013,Taipei,C1AC50
5,440.5,14,237.0,2013/05/11 00:00:00,2013,Taipei,C1AC50
6,76.5,9,23.0,2013/06/11 00:00:00,2013,Taipei,C1AC50
7,195.0,5,75.5,2013/07/13 00:00:00,2013,Taipei,C1AC50
8,717.0,11,184.0,2013/08/21 00:00:00,2013,Taipei,C1AC50
9,120.5,10,55.5,2013/09/01 00:00:00,2013,Taipei,C1AC50
10,249.0,13,154.0,2013/10/05 00:00:00,2013,Taipei,C1AC50
11,32.0,9,14.5,2013/11/25 00:00:00,2013,Taipei,C1AC50
12,198.0,16,56.5,2013/12/17 00:00:00,2013,Taipei,C1AC50
1,270.5,20,42.5,2016/01/22 00:00:00,2016,Taipei,C1AC50
2,92.5,15,18.5,2016/02/27 00:00:00,2016,Taipei,C1AC50
3,239.5,17,44.0,2016/03/13 00:00:00,2016,Taipei,C1AC50
